id,name,category,price
008bfc9b-2d9e-41bd-a525-901ccd3ddeae,Focused zero-defect productivity,Beauty,417.6
1d45edd4-eb17-4f85-bf13-186646279891,Progressive full-range product,Electronics,279.49
de7883ee-8428-4c30-b88f-62d2f9fa01d3,Polarized optimal installation,Sports,177.86
b66c54b4-dd92-48be-9bd0-15ef4b8524e0,Focused clear-thinking synergy,Electronics,217.82
d1fb57a3-8e12-4c11-9442-2dfa5622dbbc,Focused heuristic extranet,Apparel,32.7
00a9d115-e739-4469-946a-3ee1b0a8b9c7,Expanded client-server service-desk,Sports,176.91
df3f5bfb-a524-4245-a79c-6746ac4b2824,Innovative systematic open architecture,Electronics,108.17
dd0053c8-4527-4cb2-921b-33cb2d2f9d6c,Polarized stable initiative,Beauty,135.51
ce3e3382-0a17-461e-938b-d04edcf4af4e,Switchable zero-defect application,Apparel,99.8
1b572b39-1b42-4819-8020-fe6a80c8241f,Function-based responsive frame,Sports,198.98
df8f12e0-08b9-4db6-a575-aae3c2b7222b,Synergistic fresh-thinking algorithm,Sports,278.65
16140b80-adf5-4384-a968-f18b12b3debb,Down-sized multi-state functionalities,Apparel,114.61
ac86618a-c9be-420f-b571-fe376e9b3c24,Visionary bottom-line Graphic Interface,Home,199.51
5d0afcfb-fff0-4961-973c-570ef853bbed,Universal actuating product,Apparel,401.98
dcb2f980-9307-46e2-baf7-8ca02993ede7,Distributed background productivity,Beauty,465.14
2f9ce484-33f6-47a0-9933-637640bf3e09,Profound demand-driven website,Apparel,360.36
0c42c337-8500-4369-9a0b-d295b56d4724,Proactive content-based structure,Beauty,350.34
5e27f26a-bd21-4599-95d4-7ba7976f6840,Realigned holistic installation,Home,24.49
203a40ea-0fd2-44c2-8c41-ab9c84663334,Down-sized discrete data-warehouse,Beauty,301.97
448cd703-87f9-4a50-b395-7568cb4016bb,Fully-configurable 3rdgeneration orchestration,Sports,156.94
59a9b0d0-e74f-4da7-8f80-470c134f906d,Public-key grid-enabled contingency,Beauty,160.99
9827eea1-3ae8-49d6-97d9-b37307464eb7,Re-engineered mobile utilization,Sports,437.63
ce75dab1-6cc1-4ed1-aa21-517496ac8bf3,Managed bifurcated strategy,Apparel,459.04
d21ad083-ebc3-4427-9db6-108c18626ccc,Integrated bifurcated orchestration,Sports,292.17
a441a667-1dfe-4d9b-be13-d12439b200f1,Horizontal hybrid alliance,Sports,76.31
3fd229ea-f26d-4be6-a6b7-4d7fa71c5895,Persevering even-keeled matrices,Home,382.48
86afb2cb-daa0-40e3-9d23-8f9952a72af0,Operative foreground website,Apparel,195.78
8c9863b1-35eb-4b73-a2cc-6b85e7d92948,Innovative systematic definition,Electronics,233.08
1144c0e0-370f-475a-8b7c-de08e3f24e8f,User-friendly clear-thinking leverage,Electronics,174.54
e9670d83-13ae-45ae-a749-824acfcebf86,Innovative regional interface,Home,248.4
59ca424b-0fa4-4a38-86ae-a0eaac0eff5f,Programmable 3rdgeneration knowledge user,Beauty,454.6
d0255a61-fcca-41d6-9446-e0fd7bf9d4ff,Mandatory incremental toolset,Apparel,23.39
08955aa6-2a72-40b1-99ab-bb0b7a865bc7,Universal upward-trending implementation,Beauty,292.67
db4ae9ca-772c-434a-b236-ead949daf69f,Monitored methodical productivity,Apparel,321.55
